Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Flow ID,Source IP,Source Port,Destination IP,Protocol,Timestamp,captured_at,Label,source_file,canonical_class,row_id
1902.0,3.0,2.0,0.0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,666666.6667,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,237.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.243.223.255-192.168.10.9-443-1902-6,136.243.223.255,443.0,192.168.10.9,6.0,7/7/2017 10:06,2017-07-07T10:06:00,BENIGN,Friday-WorkingHours-Morning.clean.csv,benign,replay-6db9814f04e5
80.0,5478389.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.730141653,1826129.667,3162182.085,5477503.0,95.0,5478389.0,2739194.5,3872553.019,5477503.0,886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,40.0,0.54760624,0.182535413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,29200.0,28960.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.16.0.1-192.168.10.50-33122-80-6,172.16.0.1,33122.0,192.168.10.50,6.0,6/7/2017 10:30,2017-07-06T10:30:00,Web Attack – XSS,Thursday-WorkingHours-Morning-WebAttacks.clean.csv,web_attack,replay-f7c64e4b44b2
80.0,77.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25974.02597,77.0,0.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,12987.01299,12987.01299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,237.0,236.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.16.0.1-192.168.10.50-40030-80-6,172.16.0.1,40030.0,192.168.10.50,6.0,6/7/2017 9:47,2017-07-06T09:47:00,Web Attack – Brute Force,Thursday-WorkingHours-Morning-WebAttacks.clean.csv,web_attack,replay-bdbc9dbf4999
5080.0,2.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,3000000.0,1000000.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,500000.0,500000.0,0.0,6.0,2.0,3.464101615,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.16.0.1-192.168.10.50-45430-5080-6,172.16.0.1,45430.0,192.168.10.50,6.0,7/7/2017 2:54,2017-07-07T14:54:00,PortScan,Friday-WorkingHours-Afternoon-PortScan.clean.csv,port_scan,replay-22112ca95985
443.0,6521122.0,6.0,7.0,953.0,394.0,517.0,0.0,158.8333333,227.0342852,206.0,2.0,56.28571429,81.75311265,206.559546,1.993521974,543426.8333,1757317.894,6121317.0,3.0,399802.0,79960.4,75417.30541,165487.0,191.0,6404315.0,1067385.833,2500734.148,6170655.0,3.0,0.0,0.0,0.0,0.0,132.0,144.0,0.920087065,1.073434909,0.0,517.0,96.21428571,162.1415234,26289.87363,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,103.6153846,158.8333333,56.28571429,0.0,0.0,0.0,0.0,0.0,0.0,6.0,953.0,7.0,394.0,8192.0,31088.0,5.0,20.0,399802.0,0.0,399802.0,399802.0,6121317.0,0.0,6121317.0,6121317.0,144.76.152.132-192.168.10.5-443-52497-6,192.168.10.5,52497.0,144.76.152.132,6.0,7/7/2017 1:08,2017-07-07T13:08:00,BENIGN,Friday-WorkingHours-Afternoon-PortScan.clean.csv,benign,replay-dbb909df2efb
8080.0,71766.0,4.0,3.0,207.0,134.0,195.0,0.0,51.75,95.54187564,128.0,0.0,44.66666667,72.23111056,4751.553661,97.5392247,11961.0,28320.07336,69766.0,54.0,71766.0,23922.0,40834.14899,71072.0,54.0,70399.0,35199.5,48884.4131,69766.0,633.0,0.0,0.0,0.0,0.0,92.0,72.0,55.73669983,41.80252487,0.0,195.0,42.625,75.57576615,5711.696429,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.71428571,51.75,44.66666667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,207.0,3.0,134.0,8192.0,237.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.10.15-205.174.165.73-52238-8080-6,192.168.10.15,52238.0,205.174.165.73,6.0,7/7/2017 10:22,2017-07-07T10:22:00,Bot,Friday-WorkingHours-Morning.clean.csv,botnet,replay-d5536606ea10
80.0,72658.0,3.0,5.0,26.0,11607.0,20.0,0.0,8.666666667,10.26320288,8760.0,0.0,2321.4,3802.315321,160106.2512,110.1048749,10379.71429,26970.40089,71541.0,2.0,835.0,417.5,521.1376977,786.0,49.0,72504.0,18126.0,35611.50433,71541.0,2.0,0.0,0.0,0.0,0.0,72.0,112.0,41.28932809,68.81554681,0.0,8760.0,1292.555556,2952.520834,8717379.278,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1454.125,8.666666667,2321.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,5.0,11607.0,8192.0,229.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.16.0.1-192.168.10.50-26936-80-6,172.16.0.1,26936.0,192.168.10.50,6.0,7/7/2017 4:05,2017-07-07T16:05:00,DDoS,Friday-WorkingHours-Afternoon-DDos.clean.csv,ddos,replay-bc37beee002b
80.0,5918917.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675799306,1972972.333,3416513.248,5918022.0,100.0,5918917.0,2959458.5,4184040.627,5918022.0,895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,40.0,0.506849479,0.168949826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,29200.0,28960.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.16.0.1-192.168.10.50-58400-80-6,172.16.0.1,58400.0,192.168.10.50,6.0,6/7/2017 9:36,2017-07-06T09:36:00,Web Attack – Brute Force,Thursday-WorkingHours-Morning-WebAttacks.clean.csv,web_attack,replay-4ba9ef445a09
40584.0,236.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12711.86441,118.0,165.4629868,235.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,32.0,64.0,4237.288136,8474.576271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,395.0,229.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.10.12-192.168.10.50-40584-50172-6,192.168.10.50,50172.0,192.168.10.12,6.0,7/7/2017 10:18,2017-07-07T10:18:00,BENIGN,Friday-WorkingHours-Morning.clean.csv,benign,replay-191db3464461
80.0,5180854.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.772073484,1726951.333,2990410.562,5179980.0,124.0,5180854.0,2590427.0,3662180.973,5179980.0,874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,40.0,0.579055113,0.193018371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,29200.0,28960.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.16.0.1-192.168.10.50-55740-80-6,172.16.0.1,55740.0,192.168.10.50,6.0,6/7/2017 10:21,2017-07-06T10:21:00,Web Attack – XSS,Thursday-WorkingHours-Morning-WebAttacks.clean.csv,web_attack,replay-4351c7311d51
